,year,month,day,part_of_day,weather_id,severe,temp_min,temp_max
0,2016,8,31,3,800.0,0.0,66.70400000000001,73.49900000000005
1,2016,8,31,4,800.0,0.0,62.6,71.50100000000003
2,2016,9,1,1,801.6666666666666,0.0,59.300000000000004,66.09200000000007
3,2016,9,1,2,651.1666666666666,0.0,67.444746875,72.87474687500003
4,2016,9,1,3,606.8333333333334,0.0,66.11759375000003,71.11859375000002
5,2016,9,1,4,751.1666666666666,0.0,56.66900000000004,67.19900000000003
6,2016,9,2,1,800.0,0.0,56.300000000000004,62.76500000000002
7,2016,9,2,2,801.3333333333334,0.0,67.301,76.10000000000001
8,2016,9,2,3,800.3333333333334,0.0,67.06700000000002,73.19000000000004
9,2016,9,2,4,800.5,0.0,57.199999999999996,64.03400000000003
10,2016,9,3,1,783.5,0.0,52.34,61.268
11,2016,9,3,2,787.1666666666666,0.0,68.90000000000002,77.00300000000004
12,2016,9,3,3,800.0,0.0,69.00200000000004,76.21100000000003
13,2016,9,3,4,800.0,0.0,55.13900000000002,62.9
14,2016,9,4,1,720.8571428571429,0.0,50.22885714285716,63.31485714285715
15,2016,9,4,2,800.3333333333334,0.0,71.13200000000003,81.33200000000004
16,2016,9,4,3,800.5,0.0,71.50400000000006,79.63100000000001
17,2016,9,4,4,777.4285714285714,0.0,54.90628571428573,65.54171428571429
18,2016,9,5,1,747.3333333333334,0.0,53.088000000000015,65.84400000000005
19,2016,9,5,2,800.3333333333334,0.0,75.5,84.69800000000002
20,2016,9,5,3,800.3333333333334,0.0,76.60100000000001,84.63199999999999
21,2016,9,5,4,783.5,0.0,60.26000000000001,69.434
22,2016,9,6,1,732.1428571428571,0.0,66.40571428571431,74.39771428571433
23,2016,9,6,2,800.8333333333334,0.0,81.76700000000001,88.33400000000005
24,2016,9,6,3,800.8333333333334,0.0,82.96700000000003,90.26600000000003
25,2016,9,6,4,800.0,0.0,69.44000000000001,77.76800000000004
26,2016,9,7,1,715.4285714285714,0.14285714285714285,72.14257142857144,79.00057142857145
27,2016,9,7,2,708.0,0.0,82.00100000000002,90.10100000000004
28,2016,9,7,3,497.9,0.2,74.99120000000002,88.09880000000001
29,2016,9,7,4,800.0,0.0,74.51,81.93200000000002
30,2016,9,8,1,600.6666666666666,0.1111111111111111,73.56000000000002,79.88800000000002
31,2016,9,8,2,581.0,0.1111111111111111,77.024,83.35600000000002
32,2016,9,8,3,557.5,0.16666666666666666,76.06700000000001,81.36500000000002
33,2016,9,8,4,753.5,0.0,74.42600000000003,80.50100000000002
34,2016,9,9,1,704.0,0.0,65.12000000000002,71.99876923076926
35,2016,9,9,2,752.7142857142857,0.0,72.77257142857142,81.88314285714286
36,2016,9,9,3,800.3333333333334,0.0,74.867,81.8
37,2016,9,9,4,710.625,0.0,68.28350000000002,75.27425000000001
38,2016,9,10,1,509.0,0.2,67.28,73.83920000000002
39,2016,9,10,2,688.7142857142857,0.0,70.31428571428572,78.00028571428572
40,2016,9,10,3,478.2857142857143,0.2857142857142857,66.45714285714286,75.40057142857144
41,2016,9,10,4,588.0,0.0,66.70400000000001,73.19750000000002
42,2016,9,11,1,800.0,0.0,53.80100000000001,61.934000000000026
43,2016,9,11,2,801.0,0.0,64.7,72.932
44,2016,9,11,3,800.0,0.0,63.398,72.599
45,2016,9,11,4,800.3333333333334,0.0,55.699999999999996,64.70000000000003
46,2016,9,12,1,760.5,0.0,48.299000000000014,59.54675000000002
47,2016,9,12,2,800.6666666666666,0.0,68.90000000000002,77.03300000000002
48,2016,9,12,3,800.0,0.0,68.89400000000005,76.10000000000002
49,2016,9,12,4,750.5,0.0,51.75200000000002,61.733000000000004
50,2016,9,13,1,712.7,0.0,50.75600000000001,63.98240000000003
51,2016,9,13,2,800.5,0.0,71.0,79.86800000000001
52,2016,9,13,3,800.3333333333334,0.0,75.938,83.00000000000001
53,2016,9,13,4,764.6666666666666,0.0,58.448000000000015,67.433
54,2016,9,14,1,500.1666666666667,0.0,61.1,69.368
55,2016,9,14,2,752.0,0.0,64.39999999999999,74.11100000000003
56,2016,9,14,3,801.5,0.0,65.20100000000001,74.165
57,2016,9,14,4,611.4444444444445,0.0,64.26600000000002,72.266
58,2016,9,15,1,783.5,0.0,48.965000000000025,59.767999999999994
59,2016,9,15,2,800.8333333333334,0.0,66.06800000000001,74.83100000000003
60,2016,9,15,3,801.5,0.0,66.068,71.73199999999999
61,2016,9,15,4,800.1666666666666,0.0,54.96800000000002,61.831999999999994
62,2016,9,16,1,783.5,0.0,50.431999999999995,60.63500000000002
63,2016,9,16,2,800.3333333333334,0.0,69.76700000000002,79.00100000000002
64,2016,9,16,3,800.0,0.0,71.83400000000002,76.93400000000001
65,2016,9,16,4,784.0,0.0,56.0,64.766
66,2016,9,17,1,544.7,0.1,66.56,71.34080000000003
67,2016,9,17,2,577.8461538461538,0.0,68.0,72.29646153846156
68,2016,9,17,3,751.6666666666666,0.0,70.07000000000001,76.16600000000001
69,2016,9,17,4,700.0,0.0,66.70700000000001,72.66500000000003
70,2016,9,18,1,717.0,0.0,60.44,68.49860000000001
71,2016,9,18,2,684.8333333333334,0.0,71.69000000000001,77.99000000000002
72,2016,9,18,3,606.6666666666666,0.0,71.63600000000007,80.43200000000002
73,2016,9,18,4,723.75,0.0,63.896000000000015,70.54925000000003
74,2016,9,19,1,777.4285714285714,0.0,53.57428571428574,67.85600000000001
75,2016,9,19,2,800.0,0.0,73.16600000000004,84.33200000000005
76,2016,9,19,3,750.1666666666666,0.0,71.663,83.49800000000003
